series,family,signal,horizon,n,mae_c0,mae_c1,dmae_pct,bias_c0,bias_c1,std_c0,std_c1,d_bias2,d_var,driver,dm_p,better
Spain,chronos2,mcp,1,47,0.5202,0.549,5.5,-0.11,-0.098,0.795,0.764,-0.0026,-0.048,VAR,0.593,C0
Spain,chronos2,mcp,3,135,0.8179,0.8473,3.6,0.08,0.153,1.095,1.108,0.0169,0.0267,VAR,0.663,C0
Spain,chronos2,mcp,6,252,1.206,1.3132,8.9,0.424,0.547,1.543,1.643,0.1189,0.3196,VAR,0.122,C0
Spain,chronos2,mcp,12,432,1.9898,2.2659,13.9,1.032,1.434,2.547,2.659,0.9894,0.5828,BIAS,0.001,C0
Spain,chronos2,energy,1,47,0.5202,0.6561,26.1,-0.11,0.086,0.795,0.888,-0.0048,0.1568,VAR,0.024,C0
Spain,chronos2,energy,3,135,0.8179,0.9276,13.4,0.08,0.289,1.095,1.171,0.0773,0.1714,VAR,0.089,C0
Spain,chronos2,energy,6,252,1.206,1.272,5.5,0.424,0.682,1.543,1.543,0.2852,0.0012,BIAS,0.447,C0
Spain,chronos2,energy,12,432,1.9898,2.0315,2.1,1.032,1.48,2.547,2.318,1.1238,-1.1171,BIAS,0.784,C0
Spain,chronos2,inst,1,47,0.5202,0.5488,5.5,-0.11,0.003,0.795,0.778,-0.0122,-0.0261,VAR,0.522,C0
Spain,chronos2,inst,3,135,0.8179,0.8212,0.4,0.08,0.133,1.095,1.113,0.0114,0.0395,VAR,0.952,C0
Spain,chronos2,inst,6,252,1.206,1.237,2.6,0.424,0.372,1.543,1.65,-0.0413,0.3426,VAR,0.639,C0
Spain,chronos2,inst,12,432,1.9898,2.0694,4.0,1.032,0.814,2.547,2.772,-0.4026,1.197,VAR,0.477,C0
Spain,chronos2,macro,1,47,0.5202,0.6349,22.1,-0.11,0.314,0.795,0.723,0.0862,-0.1088,VAR,0.134,C0
Spain,chronos2,macro,3,135,0.8179,0.9247,13.1,0.08,0.487,1.095,1.022,0.2312,-0.1562,BIAS,0.224,C0
Spain,chronos2,macro,6,252,1.206,1.294,7.3,0.424,0.872,1.543,1.407,0.5813,-0.4017,BIAS,0.439,C0
Spain,chronos2,macro,12,432,1.9898,2.0415,2.6,1.032,1.582,2.547,2.221,1.4381,-1.5549,VAR,0.768,C0
Spain,timesfm,mcp,1,47,0.4364,0.4482,2.7,-0.011,0.127,0.614,0.619,0.0161,0.0058,BIAS,0.746,C0
Spain,timesfm,mcp,3,135,0.732,0.7725,5.5,0.338,0.426,0.897,0.891,0.0677,-0.01,BIAS,0.286,C0
Spain,timesfm,mcp,6,252,1.0866,1.2001,10.4,0.576,0.75,1.305,1.388,0.2305,0.2246,BIAS,0.015,C0
Spain,timesfm,mcp,12,432,1.8635,2.2176,19.0,1.159,1.67,2.316,2.393,1.4458,0.362,BIAS,0.0,C0
Spain,timesfm,inst,1,47,0.4364,0.4454,2.0,-0.011,-0.003,0.614,0.628,-0.0001,0.0179,VAR,0.268,C0
Spain,timesfm,inst,3,135,0.732,0.746,1.9,0.338,0.348,0.897,0.907,0.007,0.0187,VAR,0.005,C0
Spain,timesfm,inst,6,252,1.0866,1.1,1.2,0.576,0.585,1.305,1.315,0.0109,0.0264,VAR,0.014,C0
Spain,timesfm,inst,12,432,1.8635,1.8781,0.8,1.159,1.172,2.316,2.324,0.029,0.036,VAR,0.028,C0
Spain,timesfm,macro,1,47,0.4364,0.4615,5.7,-0.011,-0.061,0.614,0.648,0.0036,0.0429,VAR,0.092,C0
Spain,timesfm,macro,3,135,0.732,0.747,2.1,0.338,0.287,0.897,0.936,-0.0321,0.0716,VAR,0.397,C0
Spain,timesfm,macro,6,252,1.0866,1.0974,1.0,0.576,0.522,1.305,1.352,-0.0593,0.125,VAR,0.575,C0
Spain,timesfm,macro,12,432,1.8635,1.8839,1.1,1.159,1.097,2.316,2.378,-0.1417,0.292,VAR,0.36,C0
Spain,timegpt,inst,1,47,0.549,0.9052,64.9,0.053,0.526,0.678,1.054,0.2737,0.6504,VAR,0.002,C0
Spain,timegpt,inst,3,135,0.8248,1.1679,41.6,0.213,0.853,1.036,1.239,0.6827,0.4627,BIAS,0.016,C0
Spain,timegpt,inst,6,252,1.2225,1.6497,34.9,0.484,1.391,1.598,1.627,1.7008,0.0938,BIAS,0.014,C0
Spain,timegpt,inst,12,432,2.0096,2.6028,29.5,1.205,2.417,2.693,2.474,4.3892,-1.1324,BIAS,0.017,C0
Global,chronos2,inst,1,47,0.2519,0.2004,-20.4,0.006,0.137,0.323,0.233,0.0186,-0.0498,VAR,0.117,C1
Global,chronos2,inst,3,135,0.358,0.3417,-4.5,0.156,0.207,0.456,0.417,0.0186,-0.0343,VAR,0.74,C1
Global,chronos2,inst,6,252,0.6423,0.5914,-7.9,0.453,0.347,0.794,0.758,-0.085,-0.0564,BIAS,0.653,C1
Global,chronos2,inst,12,432,1.3375,1.1433,-14.5,1.187,0.736,1.395,1.458,-0.8679,0.1809,BIAS,0.463,C1
Global,timesfm,inst,1,47,0.2103,0.2137,1.6,0.129,0.042,0.252,0.276,-0.015,0.0126,BIAS,0.867,C0
Global,timesfm,inst,3,135,0.376,0.3487,-7.3,0.231,0.138,0.448,0.433,-0.0342,-0.0132,BIAS,0.28,C1
Global,timesfm,inst,6,252,0.6475,0.6072,-6.2,0.426,0.322,0.804,0.772,-0.0782,-0.0492,BIAS,0.171,C1
Global,timesfm,inst,12,432,1.2333,1.1913,-3.4,0.926,0.793,1.522,1.501,-0.2277,-0.0629,BIAS,0.267,C1
Europe,chronos2,inst,1,47,0.5124,0.5513,7.6,-0.13,0.149,0.703,0.662,0.0053,-0.0569,VAR,0.607,C0
Europe,chronos2,inst,3,135,0.82,0.8491,3.6,0.109,0.337,1.047,1.034,0.1019,-0.0278,BIAS,0.762,C0
Europe,chronos2,inst,6,252,1.2521,1.3213,5.5,0.561,0.75,1.541,1.594,0.2479,0.1652,BIAS,0.588,C0
Europe,chronos2,inst,12,432,2.3003,2.402,4.4,1.314,1.481,2.788,2.897,0.4667,0.6187,VAR,0.637,C0
Europe,chronos2,full,1,47,0.5124,0.5989,16.9,-0.13,0.447,0.703,0.538,0.183,-0.2049,VAR,0.341,C0
Europe,chronos2,full,3,135,0.82,0.9212,12.3,0.109,0.778,1.047,0.835,0.5937,-0.3981,BIAS,0.378,C0
Europe,chronos2,full,6,252,1.2521,1.3531,8.1,0.561,1.226,1.541,1.321,1.1875,-0.6299,BIAS,0.456,C0
Europe,chronos2,full,12,432,2.3003,2.323,1.0,1.314,2.114,2.788,2.511,2.7413,-1.4652,BIAS,0.917,C0
Europe,timesfm,full,1,47,0.3526,0.4358,23.6,0.01,-0.203,0.476,0.547,0.041,0.0727,VAR,0.09,C0
Europe,timesfm,full,3,135,0.697,0.6913,-0.8,0.418,0.197,0.843,0.909,-0.136,0.1152,BIAS,0.889,C1
Europe,timesfm,full,6,252,1.035,0.995,-3.9,0.73,0.496,1.26,1.311,-0.2867,0.1294,BIAS,0.445,C1
Europe,timesfm,full,12,432,2.0144,1.9946,-1.0,1.266,0.993,2.643,2.719,-0.6173,0.4066,BIAS,0.755,C1
Europe,timegpt,full,1,47,0.4974,0.9618,93.3,-0.071,0.887,0.649,0.979,0.7815,0.5382,BIAS,0.001,C0
Europe,timegpt,full,3,135,0.8083,1.5905,96.8,0.043,1.528,1.08,1.57,2.3324,1.2989,BIAS,0.001,C0
Europe,timegpt,full,6,252,1.294,2.522,94.9,0.317,2.486,1.647,2.156,6.0788,1.9347,BIAS,0.0,C0
Europe,timegpt,full,12,432,2.4464,4.2874,75.3,1.052,4.267,3.122,3.1,17.1009,-0.1336,BIAS,0.0,C0
